,name,countries,country codes alpha 3,endangerment,speakers,latitude,longitude
127,Tshangla,"Bhutan, China, India","BTN, CHN, IND",Vulnerable,193000.0,27.1275,91.9335
128,Thado,India,IND,Vulnerable,191000.0,24.4521,93.2354
129,Gagauz (Bessarabia),"Republic of Moldova, Ukraine","MDA, UKR",Definitely endangered,180000.0,46.0922,28.7951
130,Kului,India,IND,Definitely endangered,170770.0,31.4403,77.1487
131,Adi,"China, India","CHN, IND",Vulnerable,170000.0,28.3527,95.2294
132,Lhota,India,IND,Vulnerable,170000.0,26.1603,94.3725
133,Nyishi,India,IND,Vulnerable,170000.0,27.5277,93.0981
134,Ngäbere (Panama),Panama,PAN,Vulnerable,169130.0,9.3395,-82.2428
135,Kodagu,India,IND,Definitely endangered,166187.0,11.6952,75.9375
136,Corsican,"France, Italy","FRA, ITA",Definitely endangered,160000.0,42.0819,9.0307
137,Dzongkha,Bhutan,BTN,Vulnerable,160000.0,27.44,89.6731
138,Kalmyk,Russian Federation,RUS,Definitely endangered,153602.0,46.2026,45.8239
139,Lak,Russian Federation,RUS,Vulnerable,153373.0,42.0125,47.2521
140,Asturian-Leonese,"Spain, Portugal","ESP, PRT",Definitely endangered,150000.0,42.7954,-5.6689
141,Latgalian,"Latvia, Russian Federation","LVA, RUS",Vulnerable,150000.0,56.1822,27.1362
142,Provençal,France,FRA,Severely endangered,150000.0,43.5485,6.1083
143,Rabha,India,IND,Vulnerable,150000.0,25.9284,90.9777
144,Tamzabit,Algeria,DZA,Vulnerable,150000.0,32.4816,3.6694
145,Sherpa,"China, India, Nepal","CHN, IND, NPL",Vulnerable,143693.0,27.739,86.839
146,Tangkhul,India,IND,Vulnerable,142000.0,25.0358,94.4824
147,Q'aanjob'al,Guatemala,GTM,Vulnerable,139830.0,15.6019,-91.4441
148,Badaga,India,IND,Definitely endangered,134514.0,11.3642,76.5266
149,Angami,India,IND,Vulnerable,132000.0,25.7553,94.1308
150,Laz,"Georgia, Turkey","GEO, TUR",Definitely endangered,130000.0,41.2736,41.2646
151,Tabasaran,Russian Federation,RUS,Vulnerable,128391.0,41.8081,47.9882
152,Chambeali,India,IND,Definitely endangered,126589.0,32.9072,76.5307
153,Abkhaz,"Georgia, Russian Federation, Turkey","GEO, RUS, TUR",Vulnerable,125000.0,43.133,40.8471
154,Phom,India,IND,Vulnerable,123000.0,26.7799,94.9493
155,Kolami,India,IND,Definitely endangered,121855.0,20.5093,78.1787
156,Navajo,United States of America,USA,Vulnerable,120000.0,35.8044,-108.475
157,Sassarese,Italy,ITA,Definitely endangered,120000.0,40.6139,8.6132
158,Tamahaq (Algeria),Algeria,DZA,Vulnerable,120000.0,22.8369,5.5371
159,Konda,India,IND,Definitely endangered,118597.0,18.2763,82.9385
160,Sierra Totonac,Mexico,MEX,Severely endangered,118367.0,20.2461,-97.6586
161,Jaunsari,India,IND,Definitely endangered,114733.0,30.4859,78.0908
162,Dimasa,India,IND,Vulnerable,112000.0,24.7368,92.9003
163,Ladakhi,"China, India","CHN, IND",Vulnerable,105000.0,34.0617,77.5909
164,Salar,China,CHN,Vulnerable,104503.0,36.2752,102.4584
165,Simi,India,IND,Vulnerable,104000.0,25.9777,94.5922
166,Phurhepecha,Mexico,MEX,Vulnerable,102988.0,19.3111,-102.041
167,Crimean Tatar (Crimea),Ukraine,UKR,Severely endangered,100000.0,45.3212,34.3212
168,Dagur (Nonni),China,CHN,Definitely endangered,100000.0,47.9163,124.1235
169,Francoprovençal,"France, Italy, Switzerland","FRA, ITA, CHE",Definitely endangered,100000.0,45.7828,6.9982
170,Gallurese,Italy,ITA,Definitely endangered,100000.0,40.8802,9.4482
171,Mapuche (Argentina),Argentina,ARG,Severely endangered,100000.0,-40.0791,-71.0156
172,Mehri,"Oman, Yemen","OMN, YEM",Definitely endangered,100000.0,16.5993,52.8057
173,Miskito (Nicaragua),Nicaragua,NIC,Vulnerable,100000.0,12.4001,-83.7332
174,Ordos,China,CHN,Definitely endangered,100000.0,39.1641,108.1054
175,Quechua of Northern Bolivia,Bolivia (Plurinational State of),BOL,Vulnerable,100000.0,-15.3649,-69.0518
176,Suba,"Kenya, United Republic of Tanzania","KEN, TZA",Vulnerable,100000.0,-0.9942,34.519
177,Garífuna (Honduras),Honduras,HND,Vulnerable,98000.0,15.6754,-88.1476
178,Embera (Colombia),Colombia,COL,Vulnerable,95000.0,6.1624,-76.8383
179,Kabui,India,IND,Vulnerable,95000.0,24.7218,93.6584
180,Shughni,"Tajikistan, Afghanistan","TJK, AFG",Vulnerable,95000.0,37.4879,71.5374
181,Permyak,Russian Federation,RUS,Definitely endangered,94328.0,59.204,54.5361
182,Poqomchi',Guatemala,GTM,Vulnerable,92941.0,15.3757,-90.4288
183,Yimchungru,India,IND,Vulnerable,92000.0,25.9629,94.9713
184,Nogay (Caucasus),Russian Federation,RUS,Definitely endangered,90020.0,43.8028,46.2744
185,Heiban,Sudan,SDN,Vulnerable,90000.0,10.8575,30.2371
186,Quichua (Cañar and Azuay),Ecuador,ECU,Severely endangered,90000.0,-2.6577,-78.8378
187,Mezquital Otomí,Mexico,MEX,Definitely endangered,88789.0,20.4831,-99.217
188,Eastern Mazahua,Mexico,MEX,Definitely endangered,88001.0,19.7129,-99.9515
189,Burushaski,Pakistan,PAK,Vulnerable,87000.0,35.909,74.2153
190,Central Otomí,Mexico,MEX,Definitely endangered,84593.0,19.4661,-99.5944
191,Chokri,India,IND,Vulnerable,84000.0,25.8691,94.7131
192,Sangtam,India,IND,Vulnerable,84000.0,26.6032,94.9603
193,Ixil (Guatemala),Guatemala,GTM,Vulnerable,83574.0,15.4849,-91.0358
194,Achi',Guatemala,GTM,Vulnerable,82640.0,15.0845,-90.4888
195,Yem,Ethiopia,ETH,Vulnerable,81613.0,7.6347,37.3205
196,Mao,India,IND,Vulnerable,81000.0,25.5027,94.2681
197,Arbëresh,Italy,ITA,Definitely endangered,80000.0,40.9321,14.8645
198,Lari,Iran (Islamic Republic of),IRN,Definitely endangered,80000.0,27.8585,54.8547
199,Páez,Colombia,COL,Definitely endangered,80000.0,2.8237,-76.3117
200,Quechua of Santiago del Estero,Argentina,ARG,Definitely endangered,80000.0,-26.7848,-63.6767
201,Svan,Georgia,GEO,Definitely endangered,80000.0,43.0207,42.3193
202,Tai Daeng,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",Vulnerable,80000.0,19.8833,104.6166
203,Taznatit,Algeria,DZA,Severely endangered,80000.0,29.3413,0.3955
204,Razihi,Yemen,YEM,Definitely endangered,75000.0,16.8834,43.2655
205,Wakhi,"China, Pakistan, Tajikistan, Afghanistan","CHN, PAK, TJK, AFG",Definitely endangered,75000.0,37.1603,74.9047
206,Bishnupriya Manipuri Creole,"Bangladesh, India","BGD, IND",Vulnerable,72899.0,24.297,92.4499
207,Acheron,Sudan,SDN,Severely endangered,70000.0,10.809,30.2453
208,Maori,New Zealand,NZL,Vulnerable,70000.0,-38.4105,177.3632
209,Tai Neua,Lao People's Democratic Republic,LAO,Vulnerable,70000.0,20.5166,104.3166
210,Bhadravahi,"India, Pakistan","IND, PAK",Definitely endangered,66918.0,33.5413,76.333
211,Kinnauri,India,IND,Definitely endangered,65097.0,31.541,78.3764
212,Gallo-Sicilian,Italy,ITA,Definitely endangered,65000.0,38.0167,14.5994
213,Kurux (Bangladesh),Bangladesh,BGD,Vulnerable,65000.0,25.8196,88.9672
214,Tz'utujil,Guatemala,GTM,Definitely endangered,63237.0,14.6394,-91.2301
215,Chamorro,Guam (U.S.A.),GUM,Vulnerable,62500.0,13.4323,144.7338
216,Ashaninka (Peru),Peru,PER,Vulnerable,62468.0,-10.6929,-74.3444
217,Chang,India,IND,Vulnerable,62000.0,26.2934,94.9493
218,Kuna (Panama),Panama,PAN,Vulnerable,61703.0,9.5983,-79.6334
219,Churahi,India,IND,Definitely endangered,61199.0,33.1835,76.5747
220,Nruanghmei,India,IND,Vulnerable,61000.0,24.9661,93.5375
221,Rengma,India,IND,Vulnerable,61000.0,25.958,94.2462
222,Faroese,Faroe Islands,FRO,Vulnerable,60000.0,62.0112,-6.7785
223,Northern Tujia,China,CHN,Severely endangered,60000.0,28.828,109.5904
224,Torwali,Pakistan,PAK,Definitely endangered,60000.0,35.5833,72.5
225,Chuj (Guatemala),Guatemala,GTM,Vulnerable,59048.0,15.8259,-91.4783
226,Kachari,India,IND,Definitely endangered,59000.0,25.2844,93.2189
227,Scottish Gaelic,United Kingdom of Great Britain and Northern Ireland,GBR,Definitely endangered,58552.0,58.1011,-6.7675
228,Sierra de Puebla Náhuatl,Mexico,MEX,Definitely endangered,57189.0,19.6223,-97.8149
229,Limonese Creole,Costa Rica,CRI,Definitely endangered,55000.0,9.9916,-83.0316
230,Kashubian,Poland,POL,Severely endangered,53000.0,54.2267,18.1713
231,Khakas,Russian Federation,RUS,Definitely endangered,52217.0,53.7746,90.3735
232,Parji,India,IND,Critically endangered,51216.0,18.5629,82.8039
233,Arvanitika,Greece,GRC,Severely endangered,50000.0,38.1863,23.6096
234,Buryat (Cis-Baikal),Russian Federation,RUS,Severely endangered,50000.0,52.7961,104.8809
235,Buryat (Manchuria),"China, Mongolia","CHN, MNG",Definitely endangered,50000.0,49.8096,119.7509
236,Cuona Menba,"Bhutan, China, India","BTN, CHN, IND",Vulnerable,50000.0,26.8279,95.3623
237,Eastern Cham,Viet Nam,VNM,Definitely endangered,50000.0,10.7833,108.0833
238,Hmar,India,IND,Vulnerable,50000.0,24.577,93.3178
239,Huzhu Monguor,China,CHN,Severely endangered,50000.0,36.7608,102.4255
240,Paite,India,IND,Vulnerable,50000.0,24.1968,93.3563
241,Quichua (Imbabura),Ecuador,ECU,Definitely endangered,50000.0,0.1757,-78.2006
242,Soqotri,Yemen,YEM,Severely endangered,50000.0,12.5331,53.767
243,Southern Altay,Russian Federation,RUS,Definitely endangered,50000.0,51.069,86.5942
244,Transylvanian Saxon,Romania,ROU,Severely endangered,50000.0,46.214,24.2413
245,Turoyo,"Syrian Arab Republic, Turkey","SYR, TUR",Severely endangered,50000.0,37.405,41.3745
246,Võro-Seto,"Estonia, Russian Federation","EST, RUS",Definitely endangered,50000.0,57.8096,27.29
247,West Greenlandic,Greenland (Kingdom of Denmark),GRL,Vulnerable,50000.0,64.1681,-51.7236
248,Western Armenian (Turkey),Turkey,TUR,Definitely endangered,50000.0,41.0213,28.9324
249,Zaramo,United Republic of Tanzania,TZA,Definitely endangered,50000.0,-6.922,39.2409
250,Zenatiya,Algeria,DZA,Critically endangered,50000.0,35.5702,1.8099
251,Papantla Totonac,Mexico,MEX,Definitely endangered,49748.0,20.4477,-97.32
252,Wancho,India,IND,Vulnerable,49000.0,26.9759,95.4656
253,Bhumji,India,IND,Vulnerable,47000.0,21.8003,86.8139
254,Cosung (China),China,CHN,Definitely endangered,47000.0,22.6833,102.6666
255,Cosung (Viet Nam),Viet Nam,VNM,Definitely endangered,47000.0,22.6166,102.75
256,Baheng (China),China,CHN,Vulnerable,45000.0,26.19,110.24
257,Lumun,Sudan,SDN,Definitely endangered,45000.0,10.8387,30.0338
258,Quichua (Loja),Ecuador,ECU,Severely endangered,45000.0,-3.6236,-79.2388
259,Chamling,Nepal,NPL,Definitely endangered,44093.0,27.0499,86.7329
260,Irish,"Ireland, United Kingdom of Great Britain and Northern Ireland","IRL, GBR",Definitely endangered,44000.0,53.7876,-9.1845
261,Reshe,Nigeria,NGA,Vulnerable,44000.0,10.8791,4.6115
262,Sierra Otomí,Mexico,MEX,Vulnerable,43468.0,20.1021,-97.622
263,Phuthi,Lesotho,LSO,Definitely endangered,43000.0,-29.3791,28.2838
264,Rarotongan,Cook Islands,COK,Vulnerable,43000.0,-21.2343,-159.7837
265,Khalaj,Iran (Islamic Republic of),IRN,Vulnerable,42100.0,34.3751,50.3063
266,Dungan,"Kazakhstan, Kyrgyzstan","KAZ, KGZ",Definitely endangered,41000.0,42.4518,78.4643
267,Kheza,India,IND,Vulnerable,41000.0,25.6811,94.367
268,Jola-Kassa,Senegal,SEN,Vulnerable,40850.0,13.1089,-15.8999
269,Satār,Nepal,NPL,Vulnerable,40260.0,26.5541,87.918
270,Guaraní Boliviano,"Argentina, Bolivia (Plurinational State of)","ARG, BOL",Vulnerable,40000.0,-20.1694,-63.8525
271,Gutob,India,IND,Vulnerable,40000.0,18.7086,83.5839
272,Kheng,Bhutan,BTN,Vulnerable,40000.0,27.0786,91.0272
273,Laro,Sudan,SDN,Definitely endangered,40000.0,10.7685,29.902
274,Minyong,India,IND,Vulnerable,40000.0,28.2632,95.0537
275,Mru,Myanmar,MMR,Severely endangered,40000.0,21.7748,92.2741
276,Patani Malay,Thailand,THA,Vulnerable,40000.0,6.6482,100.0387
277,"Quechua of Cajatambo, Pasco and northern Junín",Peru,PER,Severely endangered,40000.0,-10.6147,-76.506
278,Quichua (Napo),Ecuador,ECU,Definitely endangered,40000.0,-0.6371,-77.1459
279,Tangsa,India,IND,Vulnerable,40000.0,27.4059,96.427
280,Tetserret,Niger,NER,Severely endangered,40000.0,15.4907,6.2072
281,Awajun,Peru,PER,Vulnerable,39000.0,-4.3464,-77.8271
282,Khiamngan,India,IND,Vulnerable,38000.0,26.0518,95.1031
283,Ngile,Sudan,SDN,Severely endangered,38000.0,10.7901,29.8635
284,Phunoi,Lao People's Democratic Republic,LAO,Vulnerable,37311.0,21.6833,102.1
285,Lower Mixe,Mexico,MEX,Vulnerable,37000.0,16.9616,-95.093
286,Maram,India,IND,Vulnerable,37000.0,25.185,93.9715
287,Western Mari,Russian Federation,RUS,Severely endangered,36822.0,56.3317,46.5545
288,Chepang,Nepal,NPL,Vulnerable,36807.0,27.7552,84.8144
289,Chontal Tabasco,Mexico,MEX,Severely endangered,36514.0,17.7607,-92.5936
290,Muji,China,CHN,Definitely endangered,36500.0,23.6,102.7333
291,Akatek (Guatemala),Guatemala,GTM,Vulnerable,35763.0,15.5724,-91.4218
292,Huichol,Mexico,MEX,Vulnerable,35724.0,22.65,-103.5833
293,Romansh,Switzerland,CHE,Definitely endangered,35095.0,46.5777,9.6954
294,Apatani,India,IND,Vulnerable,35000.0,27.5228,93.8177
295,Galo,India,IND,Vulnerable,35000.0,28.1688,94.7433
296,Korwa,India,IND,Vulnerable,35000.0,22.4922,84.1552
297,Shuar chicham,Ecuador,ECU,Definitely endangered,35000.0,-2.8826,-78.0303
298,Ticuna,"Brazil, Colombia, Peru","BRA, COL, PER",Definitely endangered,35000.0,-4.3464,-70.0048
299,Wanka Quechua,Peru,PER,Severely endangered,35000.0,-12.136,-75.2453
300,Sikuani,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",Vulnerable,34614.0,3.4256,-68.8183
301,Jakaltek (Guatemala),Guatemala,GTM,Definitely endangered,34038.0,15.6685,-91.7111
