,language,countries,endangerment,speakers,latitude,longitude
1361,Seri,Mexico,Vulnerable,518,29.2333,-112.2
1362,Western Popoloc,Mexico,Severely endangered,516,18.4141,-98.0176
1363,Yaqui (United States of America),United States of America,Definitely endangered,510,32.1158,-111.0638
1364,Kalapalo,Brazil,Vulnerable,506,-12.1574,-53.2521
1365,Nganasan,Russian Federation,Severely endangered,505,72.816,91.582
1366,Jakaltek (Mexico),Mexico,Severely endangered,504,16.3137,-93.2084
1367,Zapotec of San Antonino el Alto,Mexico,Definitely endangered,504,16.8166,-97.0333
1368,Purum,India,Critically endangered,503,24.3521,93.5925
1369,Aheu,Lao People's Democratic Republic,Definitely endangered,500,18.4333,104.5
1370,Amahuaca,Peru,Severely endangered,500,-10.8764,-72.29
1371,Anfillo,Ethiopia,Critically endangered,500,8.5049,34.7415
1372,Arbanasi,Croatia,Severely endangered,500,44.0994,15.2545
1373,Baniva,Venezuela (Bolivarian Republic of),Severely endangered,500,2.8333,-67.5219
1374,Bataan Ayta,Philippines,Definitely endangered,500,14.4324,120.4788
1375,Bats,Georgia,Severely endangered,500,42.0982,45.0878
1376,Black Mountain,Bhutan,Definitely endangered,500,27.1955,90.43
1377,Busoa,Indonesia,Vulnerable,500,-5.5722,122.6074
1378,Chong,"Cambodia, Thailand",Severely endangered,500,12.9506,102.0374
1379,Domaaki,Pakistan,Severely endangered,500,36.0979,73.9627
1380,Ganan,Myanmar,Severely endangered,500,24.2317,95.3778
1381,Havasupai,United States of America,Definitely endangered,500,36.2429,-112.6897
1382,Kensiw (Thailand),Thailand,Severely endangered,500,7.1712,99.7915
1383,Khmin,China,Vulnerable,500,22.0469,100.8065
1384,Khvarshi,Russian Federation,Definitely endangered,500,42.3417,46.1212
1385,Kundal Shahi,"India, Pakistan",Definitely endangered,500,34.55,73.8833
1386,Laghuu,Viet Nam,Definitely endangered,500,23.6166,105.6833
1387,Laha (Lao Cai),Viet Nam,Definitely endangered,500,22.0333,103.75
1388,Laha (Son La),Viet Nam,Definitely endangered,500,21.4666,103.75
1389,Langa,Cameroon,Severely endangered,500,6.5404,11.6427
1390,Laxudumau,Papua New Guinea,Vulnerable,500,-2.8922,151.2467
1391,Majera,Cameroon,Critically endangered,500,11.3231,14.9839
1392,Maliseet-Passamaquoddy,United States of America,Severely endangered,500,44.9572,-67.0496
1393,Mikasuki,United States of America,Vulnerable,500,26.3202,-80.9877
1394,Mlomp,Senegal,Critically endangered,500,12.7421,-16.4904
1395,Onin,Indonesia,Vulnerable,500,-2.9745,132.2383
1396,Ormu,Indonesia,Vulnerable,500,-2.5136,140.6675
1397,Palikur (French Guyana),French Guiana (France),Severely endangered,500,3.908,-51.9873
1398,Pemon (Brazil),Brazil,Vulnerable,500,4.664,-60.216
1399,Quechua of Chachapoyas,Peru,Critically endangered,500,-6.2606,-77.7722
1400,Samatu,China,Critically endangered,500,24.2105,98.9655
1401,Seke,Nepal,Vulnerable,500,28.9282,83.8249
1402,Siona / Secoya (Colombia),Colombia,Critically endangered,500,0.493,-76.2464
1403,South Saami,"Norway, Sweden",Severely endangered,500,64.2063,13.4802
1404,Taikat,Indonesia,Definitely endangered,500,-2.8429,140.846
1405,Taloki,Indonesia,Definitely endangered,500,-4.5928,122.8628
1406,Tamki,Chad,Critically endangered,500,11.48,18.2125
1407,Tawahka,Honduras,Severely endangered,500,15.3602,-85.1373
1408,Thavung (Thailand),Thailand,Severely endangered,500,17.3168,103.5142
1409,Tomadino,Indonesia,Definitely endangered,500,-2.5836,121.9729
1410,Toratán,Indonesia,Definitely endangered,500,1.0354,124.7985
1411,Tunisian Judeo-Arabic (Tunisia),Tunisia,Critically endangered,500,33.8795,10.0634
1412,Ulwa,Nicaragua,Severely endangered,500,12.8894,-83.5779
1413,"Ute (Colorado, Ute Mountain)",United States of America,Severely endangered,500,37.2105,-108.7223
1414,Walmajarri,Australia,Definitely endangered,500,-19.9939,125.5297
1415,Warekena (Venezuela),Venezuela (Bolivarian Republic of),Severely endangered,500,2.5479,-67.2802
1416,Boguru,"Democratic Republic of the Congo, Sudan",Critically endangered,494,4.3902,29.2016
1417,Pukobyê,Brazil,Vulnerable,494,-5.3316,-46.7138
1418,Swoeng,Lao People's Democratic Republic,Definitely endangered,492,15.3333,106.75
1419,Wali,Sudan,Critically endangered,487,11.9372,29.3005
1420,Gavião do Pará,Brazil,Vulnerable,476,-5.1784,-48.999
1421,Malecite,"Canada, United States of America",Definitely endangered,475,46.8023,-67.6686
1422,Ninam (Brazil),Brazil,Vulnerable,466,3.1185,-62.9736
1423,Zoró,Brazil,Vulnerable,464,-10.9519,-61.0729
1424,Sanema (Brazil),Brazil,Vulnerable,462,2.8113,-63.0615
1425,Ixtenco Otomí,Mexico,Severely endangered,461,19.2495,-97.8943
1426,Ottawa (Michigan),United States of America,Critically endangered,459,43.5971,-84.7752
1427,Kanela Apaniekra,Brazil,Vulnerable,458,-6.2716,-46.1865
1428,Satawal,Micronesia (Federated States of),Severely endangered,458,7.3406,147.041
1429,Chatino of Zacatepec,Mexico,Definitely endangered,453,16.1333,-97.35
1430,Demisa,Indonesia,Definitely endangered,450,-2.7016,136.6699
1431,Koasati (Louisiana),United States of America,Definitely endangered,450,30.4855,-92.8494
1432,Koasati (Texas),United States of America,Definitely endangered,450,30.7155,-94.6965
1433,Nanti,Peru,Vulnerable,450,-11.6629,-72.6965
1434,Shabo,Ethiopia,Severely endangered,450,7.327,35.2935
1435,Sharanahua,Peru,Severely endangered,450,-10.3365,-70.9277
1436,Siona  Secoya (Peru),Peru,Definitely endangered,450,-0.5712,-74.8828
1437,Tolomako,Vanuatu,Definitely endangered,450,-15.1834,166.8438
1438,Enawenê-Nawê,Brazil,Vulnerable,445,-12.5223,-59.7656
1439,Valle Nacional Chinantec,Mexico,Definitely endangered,442,17.7747,-96.3034
1440,Gavião de Rondônia,Brazil,Vulnerable,436,-10.4445,-61.6992
1441,Tabasco Náhuatl,Mexico,Critically endangered,434,18.0026,-93.3722
1442,Sera,Papua New Guinea,Severely endangered,432,-3.0033,141.9158
1443,Yecuana (Brazil),Brazil,Vulnerable,430,2.8552,-63.3251
1444,Alabugat Tatar,Russian Federation,Definitely endangered,422,45.4447,47.0324
1445,"Zapotec of the Southern mountains, eastern lowlands",Mexico,Definitely endangered,420,16.2,-96.7
1446,Western Otomí,Mexico,Severely endangered,415,19.4335,-100.3456
1447,Moose Cree,Canada,Vulnerable,405,52.2827,-81.6276
1448,Tlahuica,Mexico,Severely endangered,405,18.9664,-99.4137
1449,Katukina do Acre,Brazil,Severely endangered,404,-6.4899,-69.2578
1450,Abai Sungai,Malaysia,Definitely endangered,400,5.587,118.3695
1451,Barasana (Colombia),Colombia,Critically endangered,400,0.0769,-70.3894
1452,Beezen,Cameroon,Severely endangered,400,6.7518,10.0744
1453,Buga,Sudan,Critically endangered,400,8.2495,25.7574
1454,Cheyenne (Oklahoma),United States of America,Severely endangered,400,35.6022,-97.9766
1455,Cimbrian,Italy,Definitely endangered,400,45.867,11.4268
1456,Cobiana,"Guinea-Bissau, Senegal",Critically endangered,400,12.4017,-16.3229
1457,Dagur (Amur),China,Critically endangered,400,49.5252,127.5402
1458,Dahalo,Kenya,Severely endangered,400,-2.2625,40.7537
1459,Émérillon,French Guiana (France),Severely endangered,400,2.8991,-52.8881
1460,Gagauz (Maritime),"Bulgaria, Romania",Severely endangered,400,43.2932,27.9602
1461,Hijuk,Cameroon,Critically endangered,400,4.2861,10.4919
1462,Hobyot,"Oman, Yemen",Severely endangered,400,16.6388,53.0612
1463,Inari Saami,Finland,Severely endangered,400,68.8446,27.2817
1464,Istriot,Croatia,Severely endangered,400,45.0541,13.7246
1465,Kalao,Indonesia,Definitely endangered,400,-7.3134,121.0034
1466,Kamaiurá,Brazil,Vulnerable,400,-12.1655,-53.4292
1467,Kickapoo (Kansas),United States of America,Severely endangered,400,39.6972,-95.7089
1468,Kickapoo (Oklahoma),United States of America,Severely endangered,400,35.4245,-97.0713
1469,Kickapoo (Texas),United States of America,Severely endangered,400,28.6147,-100.4386
1470,Kiowa,United States of America,Severely endangered,400,35.1016,-98.6197
1471,Koroni,Indonesia,Definitely endangered,400,-2.6412,121.9894
1472,Lamongse,India,Critically endangered,400,7.3134,93.6968
1473,Ndunda,Nigeria,Severely endangered,400,6.9482,10.9698
1474,Northern Paiute (Nevada),United States of America,Definitely endangered,400,41.9979,-117.7193
1475,Pupeo,China,Definitely endangered,400,23.1666,105.1
1476,Rapa,French Polynesia (France),Severely endangered,400,-27.8973,-143.5034
1477,Red Gelao (China),China,Critically endangered,400,26.2553,105.8571
1478,Sengseng,Papua New Guinea,Vulnerable,400,-6.0681,150.2792
1479,Sirionó,Bolivia (Plurinational State of),Severely endangered,400,-14.557,-63.7316
1480,Talondo,Indonesia,Definitely endangered,400,-2.3723,119.3774
1481,"Yaminahua (Bolivia, Peru)","Bolivia (Plurinational State of), Peru",Severely endangered,400,-10.7469,-71.7297
1482,Mixtec of Zapotitlán,Mexico,Severely endangered,396,18.3333,-97.4666
1483,Sanema (Venezuela),Venezuela (Bolivarian Republic of),Vulnerable,393,4.4669,-64.1931
1484,Ts'ixa,Botswana,Definitely endangered,390,-18.9894,23.692
1485,Pirahã,Brazil,Vulnerable,389,-6.9264,-61.1279
1486,Mixtec of San Pedro Tidaá,Mexico,Severely endangered,384,17.35,-97.3833
1487,Yerong,China,Severely endangered,380,23.0732,106.0789
1488,A'ingae / Cofan (Colombia),Colombia,Severely endangered,379,0.4525,-76.9191
1489,Halkomelem,"Canada, United States of America",Severely endangered,375,48.7715,-123.6678
1490,Yudja,Brazil,Vulnerable,362,-10.956,-53.3235
1491,Kisêdjê,Brazil,Vulnerable,351,-11.5795,-53.031
1492,Auye,Indonesia,Vulnerable,350,-3.5627,135.9915
1493,Awyi,Indonesia,Vulnerable,350,-2.943,140.6359
1494,Bierebo,Vanuatu,Vulnerable,350,-16.6539,168.1539
1495,Fayu,Indonesia,Vulnerable,350,-3.1,136.8
1496,Labo,Vanuatu,Vulnerable,350,-16.4492,167.4481
1497,Mra,"China, India",Critically endangered,350,28.3914,93.3837
1498,Myky,Brazil,Vulnerable,350,-12.5331,-59.5019
1499,Na,"China, India",Critically endangered,350,28.4638,93.3041
1500,Nadëb,Brazil,Definitely endangered,350,-1.9771,-67.0166
1501,Taje,Indonesia,Critically endangered,350,-0.747,120.086
1502,Tenharim,Brazil,Severely endangered,350,-8.4071,-61.1499
1503,Mako,Venezuela (Bolivarian Republic of),Critically endangered,345,4.2149,-65.7421
1504,Barām,Nepal,Critically endangered,342,28.041,84.629
1505,Ikpeng,Brazil,Vulnerable,342,-11.7376,-53.616
1506,Gardiol,Italy,Severely endangered,340,39.4658,15.9933
1507,Araweté,Brazil,Vulnerable,339,-5.1347,-52.3388
1508,Northern Pame,Mexico,Definitely endangered,337,21.9955,-99.6458
1509,Thompson,Canada,Severely endangered,335,50.1909,-120.8431
1510,Serili,Indonesia,Vulnerable,328,-8.1136,129.9023
1511,Kaningara,Papua New Guinea,Vulnerable,327,-4.5784,143.3612
1512,Misantla Totonac,Mexico,Critically endangered,325,19.865,-96.7755
1513,Nemi,New Caledonia (France),Definitely endangered,325,-20.6494,164.6878
1514,Nambiquara do Norte,Brazil,Vulnerable,323,-11.8028,-59.8095
1515,Matís,Brazil,Vulnerable,322,-6.1405,-70.664
1516,Wauja,Brazil,Vulnerable,321,-12.2554,-53.5899
1517,Benggoi,Indonesia,Definitely endangered,320,-3.0748,130.0918
1518,Karitiana,Brazil,Vulnerable,320,-9.7307,-64.0942
1519,Apalai,Brazil,Vulnerable,317,1.2084,-55.1074
1520,Kwak'wala,"Canada, United States of America",Critically endangered,315,50.7338,-127.4982
1521,Southern Zoque,Mexico,Definitely endangered,312,16.7138,-93.1194
1522,Tilung,Nepal,Definitely endangered,310,27.1501,86.5077
1523,Opuuo,Ethiopia,Critically endangered,307,8.3202,33.8873
1524,Panará,Brazil,Vulnerable,306,-9.449,-54.5965
1525,Aka,India,Critically endangered,300,11.0112,34.2333
1526,Bakole,Cameroon,Critically endangered,300,4.5764,8.8439
1527,Bathari,Oman,Critically endangered,300,17.8846,55.5853
1528,Brokkat,Bhutan,Definitely endangered,300,27.5618,90.6152
1529,Duwet,Papua New Guinea,Vulnerable,300,-6.4763,146.8377
1530,Faire Atta,Philippines,Severely endangered,300,18.027,120.4929
1531,Green Gelao (China),China,Critically endangered,300,27.7022,106.0952
1532,Green Gelao (Viet Nam),Viet Nam,Critically endangered,300,23.1333,105.25
1533,Guatuso,Costa Rica,Severely endangered,300,10.6723,-84.8256
1534,Gupapuyngu,Australia,Vulnerable,300,-12.6624,136.549
1535,Istro-Romanian,Croatia,Severely endangered,300,45.3907,14.436
1536,Jicarilla Apache,United States of America,Severely endangered,300,36.9336,-106.9984
1537,Kandas,Papua New Guinea,Vulnerable,300,-4.4121,152.7868
1538,Kangjia,China,Severely endangered,300,36.0757,102.2991
1539,Kaxarari,Brazil,Critically endangered,300,-9.5682,-66.1596
1540,Kwansu,Indonesia,Vulnerable,300,-2.5383,140.2061
1541,Legenyem,Indonesia,Vulnerable,300,-0.3186,130.7345
1542,Mandaic,"Iran (Islamic Republic of), Iraq",Critically endangered,300,31.3348,48.7023
1543,Mangareva,French Polynesia (France),Severely endangered,300,-23.1226,-134.978
1544,Mani,"Guinea, Sierra Leone",Critically endangered,300,9.1129,-13.2165
1545,Maniq,Thailand,Definitely endangered,300,7.35,99.9333
1546,Mono,Cameroon,Critically endangered,300,8.6679,14.1723
1547,Northern Paiute (Oregon),United States of America,Critically endangered,300,43.5883,-119.0595
1548,Phong,Lao People's Democratic Republic,Definitely endangered,300,18.3333,105.0
1549,Shanenawa,Brazil,Vulnerable,300,-8.1014,-70.2129
1550,Sissano,Papua New Guinea,Critically endangered,300,-3.0129,142.0491
1551,Skolt Saami,"Finland, Norway, Russian Federation",Severely endangered,300,69.5333,28.6269
1552,Tarpia,Indonesia,Severely endangered,300,-2.3723,140.0317
1553,Tause,Indonesia,Vulnerable,300,-2.8744,136.2469
1554,Thaayorre,Australia,Definitely endangered,300,-15.0867,141.7167
1555,Tlingit (United States of America),United States of America,Critically endangered,300,58.334,-133.7475
1556,Tol,Honduras,Critically endangered,300,15.293,-87.1416
1557,Tsakonian,Greece,Critically endangered,300,37.1712,22.7911
1558,Tuahka,Nicaragua,Severely endangered,300,13.838,-84.4409
1559,Ute (Utah),United States of America,Severely endangered,300,40.2329,-109.8223
1560,Vedda,Sri Lanka,Definitely endangered,300,7.346,81.3935
1561,Vera'a,Vanuatu,Definitely endangered,300,-13.872,167.4323
1562,Warapu,Papua New Guinea,Severely endangered,300,-2.9876,141.9838
1563,Waru,Indonesia,Definitely endangered,300,-3.4393,121.9921
1564,Yawarana,Venezuela (Bolivarian Republic of),Severely endangered,300,5.3863,-66.0058
1565,Yimas,Papua New Guinea,Severely endangered,300,-4.6038,143.6077
1566,Tilapa Otomí,Mexico,Severely endangered,292,18.8923,-99.2986
1567,Paumarí,Brazil,Severely endangered,290,-5.8947,-64.5996
1568,Wayana (Brazil),Brazil,Vulnerable,288,1.3182,-55.2612
1569,Achagua,Colombia,Severely endangered,283,4.434,-70.8837
1570,Guajá,Brazil,Vulnerable,283,-3.4914,-46.2963
1571,Maniwaki Algonquin,Canada,Severely endangered,280,46.3392,-76.0485
1572,Alabama,United States of America,Definitely endangered,275,30.7158,-94.7028
1573,Cocopa (Arizona),United States of America,Severely endangered,275,32.608,-114.6497
1574,Miltu,Chad,Critically endangered,272,10.2149,17.3913
1575,Arara do Pará,Brazil,Vulnerable,271,-3.7546,-52.976
1576,Kaki Ae,Papua New Guinea,Vulnerable,266,-7.9653,145.7858
1577,Nisga'a,Canada,Severely endangered,265,55.2035,-129.07
1578,"Zapotec of the Valleys, central",Mexico,Severely endangered,257,16.85,-96.6666
1579,Bosilewa,Papua New Guinea,Vulnerable,250,-9.449,150.661
1580,Caquinte Campa,Peru,Definitely endangered,250,-11.146,-73.4765
1581,Gwich'in (Canada),Canada,Severely endangered,250,67.4407,-134.8272
1582,Kaibobo,Indonesia,Definitely endangered,250,-3.1843,128.1829
1583,Kaiep,Papua New Guinea,Vulnerable,250,-3.6666,143.8166
1584,Kaiy,Indonesia,Vulnerable,250,-2.943,138.1777
1585,Laji,China,Critically endangered,250,22.5304,105.885
1586,Lehali,Vanuatu,Vulnerable,250,-13.5205,167.2998
1587,Lillooet,Canada,Severely endangered,250,50.3326,-122.6789
1588,Löyöp,Vanuatu,Vulnerable,250,-13.5311,167.3368
1589,Nyangumarta,Australia,Vulnerable,250,-20.016,120.4101
1590,Pear,Cambodia,Severely endangered,250,12.4666,102.65
1591,Ruc,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,250,17.6833,105.7833
1592,Sause,Indonesia,Severely endangered,250,-3.1706,139.7515
1593,Texistepecan,Mexico,Severely endangered,250,17.8941,-94.8163
1594,Winnebago (Nebraska),United States of America,Severely endangered,250,42.2475,-96.4722
1595,Winnebago (Wisconsin),United States of America,Severely endangered,250,44.2986,-90.8508
1596,Zapotec of San Bartolo Yautepec,Mexico,Severely endangered,246,16.4333,-95.9666
1597,Mixtec of San Miguel Piedras,Mexico,Severely endangered,243,17.0,-97.05
1598,North Alaskan Inupiaq (Canada),Canada,Severely endangered,240,68.3217,-133.532
1599,Waiwai (Guyana),Guyana,Vulnerable,240,1.5598,-58.5131
1600,As,Indonesia,Vulnerable,230,-0.736,131.7727
1601,Siglitun,Canada,Severely endangered,230,69.4386,-132.9998
1602,K'iche' (Mexico),Mexico,Definitely endangered,226,19.3482,-90.7177
1603,Paipai,Mexico,Severely endangered,226,29.65,-115.1333
1604,Garuwahi,Papua New Guinea,Definitely endangered,225,-10.2284,150.4083
1605,Picuris,United States of America,Vulnerable,225,36.1914,-105.7151
1606,Neku,New Caledonia (France),Severely endangered,221,-21.5169,165.4568
1607,Tiri,New Caledonia (France),Definitely endangered,221,-21.6141,165.7836
1608,Danisi,Botswana,Critically endangered,220,-19.4769,25.2136
1609,Emplawas,Indonesia,Definitely endangered,220,-8.0374,129.7375
1610,Mixtec of the northeast lowlands,Mexico,Severely endangered,220,17.5333,-97.35
1611,Musom,Papua New Guinea,Definitely endangered,219,-6.5391,146.9119
1612,Pwaamèi,New Caledonia (France),Definitely endangered,219,-20.8767,164.7413
1613,"Zapotec of the Valleys, west",Mexico,Definitely endangered,211,16.2666,-96.8833
1614,Karo,Brazil,Vulnerable,208,-10.5749,-61.5893
1615,Cocopa (Mexico),Mexico,Definitely endangered,206,32.25,-115.25
1616,Korúbo,Brazil,Vulnerable,205,-5.8346,-70.9277
1617,Aja,Sudan,Critically endangered,200,8.6136,25.2465
1618,Antakirinya,Australia,Definitely endangered,200,-26.7848,134.2968
1619,Bana,Lao People's Democratic Republic,Severely endangered,200,20.4836,100.3161
1620,Baras,Indonesia,Severely endangered,200,-1.8838,119.3774
1621,Batak,Philippines,Definitely endangered,200,10.1081,119.0
1622,Birri,Central African Republic,Critically endangered,200,5.4902,26.8505
1623,Bonggo,Indonesia,Severely endangered,200,-2.2461,139.5208
1624,Central Siberian Yupik (Chukotka),Russian Federation,Severely endangered,200,64.546,-173.128
1625,Chawte,Myanmar,Definitely endangered,200,24.1918,94.2736
1626,Che Wong,Malaysia,Definitely endangered,200,3.6271,102.1907
1627,Defaka,Nigeria,Critically endangered,200,4.538,7.5311
1628,Doga,Papua New Guinea,Definitely endangered,200,-9.6278,149.8384
1629,Dorig,Vanuatu,Definitely endangered,200,-14.3236,167.5669
1630,Dukha,Mongolia,Severely endangered,200,51.9307,98.9318
1631,Emae,Vanuatu,Vulnerable,200,-17.0567,168.3956
1632,Erokwanas,Indonesia,Vulnerable,200,-2.8113,132.6708
1633,Gowro,Pakistan,Severely endangered,200,35.0254,72.9341
1634,Hayu,Nepal,Critically endangered,200,27.2912,86.0696
1635,Hidatsa,United States of America,Definitely endangered,200,47.7321,-102.6758
1636,Ingrian,Russian Federation,Severely endangered,200,59.7397,28.7017
1637,Iwaidja,Australia,Vulnerable,200,-11.4592,132.55
1638,Kadai,Indonesia,Definitely endangered,200,-1.7465,125.2606
1639,Kao,Indonesia,Definitely endangered,200,1.1479,127.8204
1640,Karo,Ethiopia,Critically endangered,200,5.2003,36.0681
1641,Kelo,Sudan,Critically endangered,200,9.4463,34.0219
1642,Kokota,Solomon Islands,Vulnerable,200,-8.0347,159.1781
1643,Koneraw,Indonesia,Vulnerable,200,-8.3854,137.9415
1644,Koroshi,Iran (Islamic Republic of),Critically endangered,200,29.8978,52.6574
1645,Magori,Papua New Guinea,Vulnerable,200,-10.2554,149.2108
1646,Maung,Australia,Vulnerable,200,-11.913,133.7255
1647,Mehináku,Brazil,Vulnerable,200,-12.5423,-53.2403
1648,Moghol,Afghanistan,Critically endangered,200,34.3569,61.5875
1649,Ningalami,Afghanistan,Severely endangered,200,35.2355,71.51
1650,Northern Alta,Philippines,Severely endangered,200,15.7162,121.4085
1651,Numbani,Papua New Guinea,Vulnerable,200,-7.5177,147.2991
1652,Nung Ven,Viet Nam,Vulnerable,200,23.15,105.2166
1653,Ongamo,Kenya,Critically endangered,200,-2.932,37.4853
1654,Orejón,Peru,Severely endangered,200,-2.7674,-72.9492
1655,Pacific Gulf Yupik,United States of America,Severely endangered,200,58.1938,-155.6542
1656,Pipil,El Salvador,Critically endangered,200,13.722,-89.7195
1657,Saisiyat,China,Severely endangered,200,24.5977,121.0762
1658,Sauk-Fox,United States of America,Critically endangered,200,41.9637,-92.5768
1659,Sepa,Papua New Guinea,Vulnerable,200,-4.3245,144.9755
1660,Shark Bay,Vanuatu,Vulnerable,200,-15.2987,167.1459
1661,Southern Chocho,Mexico,Severely endangered,200,17.6608,-97.335
1662,Theen,Lao People's Democratic Republic,Severely endangered,200,20.2022,102.8538
1663,Töitschu,Italy,Severely endangered,200,45.6913,7.8682
1664,|Xaise,Botswana,Critically endangered,200,-21.2458,26.1776
1665,Beaver,Canada,Definitely endangered,195,56.481,-121.8831
1666,Nootka,Canada,Severely endangered,185,49.2818,-126.0627
1667,Tipai (Mexico),Mexico,Severely endangered,184,32.0,-116.1166
1668,Uru-eu-au-au,Brazil,Vulnerable,183,-11.6852,-63.6547
1669,Eastern Chocho,Mexico,Severely endangered,181,17.7223,-97.3213
1670,Bahonsuai,Indonesia,Definitely endangered,180,-2.2186,121.6845
1671,Bedoanas,Indonesia,Vulnerable,180,-2.7263,132.5582
1672,Jarawára,Brazil,Vulnerable,180,-7.2153,-65.0115
1673,Keder,Indonesia,Severely endangered,180,-2.043,139.0979
1674,Straits Salish,"Canada, United States of America",Severely endangered,180,48.4457,-123.4205
1675,Zo'é,Brazil,Vulnerable,177,0.7909,-57.1289
1676,Central Ojibwe,Canada,Definitely endangered,175,50.2275,-86.9635
1677,Kuurinji,Australia,Definitely endangered,175,-18.1047,129.8474
1678,Mwatebu,Papua New Guinea,Definitely endangered,166,-10.0202,151.0537
1679,Zazao,Solomon Islands,Critically endangered,166,-8.1832,159.2269
1680,"Zapotec of the Southern mountains, northwest lowlands",Mexico,Definitely endangered,164,16.6333,-96.95
1681,Pije,New Caledonia (France),Severely endangered,161,-20.7869,164.9487
1682,Aweti,Brazil,Vulnerable,160,-12.2053,-53.3705
1683,Koro,Vanuatu,Definitely endangered,160,-14.3242,167.4728
1684,Meriam Mir,Australia,Definitely endangered,160,-9.9201,144.0472
1685,Onjab,Papua New Guinea,Vulnerable,160,-9.2973,149.1613
1686,Tsimshian,Canada,Critically endangered,160,54.5016,-130.3832
1687,Chihuahua Lower Pima,Mexico,Definitely endangered,159,28.686,-106.1378
1688,Sonora Lower Pima,Mexico,Severely endangered,159,28.3716,-108.9265
1689,Kaska,Canada,Severely endangered,155,61.9751,-132.4544
1690,Aikana,Brazil,Definitely endangered,150,-12.651,-60.3918
1691,Aleut (Eastern),United States of America,Critically endangered,150,54.7212,-164.4433
1692,Aleut (Western),United States of America,Severely endangered,150,52.2304,-174.1978
1693,Amblong,Vanuatu,Definitely endangered,150,-15.4933,166.9846
1694,Arguni,Indonesia,Vulnerable,150,-2.6632,132.5418
1695,Assiniboine (United States of America),United States of America,Critically endangered,150,48.4466,-114.8783
1696,Baki,Vanuatu,Vulnerable,150,-16.7013,168.145
1697,Cacua,Colombia,Severely endangered,150,0.9166,-69.5
1698,Camarines Norte Agta,Philippines,Severely endangered,150,14.0135,122.8873
1699,Cubeo (Brazil),Brazil,Definitely endangered,150,1.2713,-67.8076
1700,Gwich'in (United States of America),United States of America,Severely endangered,150,68.1171,-145.5173
1701,Hiw,Vanuatu,Definitely endangered,150,-13.1343,166.5671
1702,Katxuyana-Xikuyána,Brazil,Vulnerable,150,2.043,-55.4589
1703,Ket,Russian Federation,Severely endangered,150,62.6236,87.7148
1704,Koyukon,United States of America,Critically endangered,150,66.3375,-151.1608
1705,Malmariv,Vanuatu,Vulnerable,150,-15.2656,166.9104
1706,Mt. Iraya Agta,Philippines,Definitely endangered,150,13.459,123.5467
1707,Ocaina (Peru),Peru,Critically endangered,150,-2.8552,-71.9824
1708,Papapana,Papua New Guinea,Definitely endangered,150,-5.8974,155.2505
1709,Quechan,United States of America,Definitely endangered,150,32.7279,-114.7255
1710,Southern Ayta,Philippines,Critically endangered,150,13.027,124.1549
1711,Tundra Yukagir,Russian Federation,Critically endangered,150,69.1654,154.4732
1712,Tupari,Brazil,Definitely endangered,150,-12.0876,-62.4792
1713,Wari,Indonesia,Definitely endangered,150,-3.2173,138.4497
1714,Yavapai,United States of America,Severely endangered,150,34.5638,-112.4453
1715,Mlabri,"Lao People's Democratic Republic, Thailand",Definitely endangered,149,18.4796,101.0961
1716,Negidal,Russian Federation,Critically endangered,147,52.942,139.779
1717,Suarmin,Papua New Guinea,Definitely endangered,145,-5.0526,141.9818
1718,Kickapoo (Mexico),Mexico,Critically endangered,144,28.0,-101.75
1719,Wab,Papua New Guinea,Vulnerable,142,-5.6296,146.39
1720,Motocintlec,Mexico,Critically endangered,141,15.3709,-92.2484
1721,Dengalu,Papua New Guinea,Definitely endangered,140,-7.0572,146.3598
1722,Dimbong,Cameroon,Critically endangered,140,4.7078,10.6567
1723,Kunbarlang,Australia,Severely endangered,140,-12.0661,134.0661
1724,Machineri (Bolivia),Bolivia (Plurinational State of),Severely endangered,140,-11.146,-69.0161
1725,Taworta,Indonesia,Vulnerable,140,-3.2776,138.7902
1726,ǂHoa,Botswana,Critically endangered,140,-24.1668,24.4885
1727,Handuri,India,Critically endangered,138,31.0011,77.3107
1728,Suruahá,Brazil,Vulnerable,136,-6.8828,-66.9726
1729,Kutenai,"Canada, United States of America",Severely endangered,135,49.6467,-115.7372
1730,Nauna,Papua New Guinea,Vulnerable,130,-2.2159,148.1986
1731,Okanagan,"Canada, United States of America",Definitely endangered,130,50.3059,-119.3228
1732,Piu,Papua New Guinea,Definitely endangered,130,-6.9591,146.4257
1733,Ocaina (Colombia),Colombia,Severely endangered,126,-2.0,-71.5
1734,Yuki,Bolivia (Plurinational State of),Severely endangered,125,-16.2463,-65.0061
1735,Asurini do Xingu,Brazil,Vulnerable,124,-3.9095,-52.4707
1736,Nahukwa,Brazil,Definitely endangered,124,-12.1043,-53.2944
1737,Aputai,Indonesia,Critically endangered,120,-7.6511,126.4086
1738,Budibud,Papua New Guinea,Vulnerable,120,-9.2973,153.6891
1739,Capanahua,Peru,Severely endangered,120,-6.5991,-74.2895
1740,Dâw,Brazil,Vulnerable,120,0.2197,-68.7744
1741,Ili Turk,China,Severely endangered,120,44.0244,81.145
1742,Lamu,China,Critically endangered,120,26.2434,100.8654
1743,Obokuitai,Indonesia,Vulnerable,120,-2.9046,138.0816
1744,Polonomombauk,Vanuatu,Definitely endangered,120,-15.4907,167.0814
