,language,countries,endangerment,speakers,latitude,longitude
122,Khorasani Turk,Iran (Islamic Republic of),Vulnerable,200000,36.6596,57.854
123,Korku,India,Vulnerable,200000,20.3034,80.2441
124,Moksha,Russian Federation,Definitely endangered,200000,54.1817,43.2751
125,Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic",Definitely endangered,200000,33.884,35.5133
126,Western Cham,Cambodia,Vulnerable,200000,12.0333,105.4333
127,Tshangla,"Bhutan, China, India",Vulnerable,193000,27.1275,91.9335
128,Thado,India,Vulnerable,191000,24.4521,93.2354
129,Gagauz (Bessarabia),"Republic of Moldova, Ukraine",Definitely endangered,180000,46.0922,28.7951
130,Kului,India,Definitely endangered,170770,31.4403,77.1487
131,Adi,"China, India",Vulnerable,170000,28.3527,95.2294
132,Lhota,India,Vulnerable,170000,26.1603,94.3725
133,Nyishi,India,Vulnerable,170000,27.5277,93.0981
134,Ngäbere (Panama),Panama,Vulnerable,169130,9.3395,-82.2428
135,Kodagu,India,Definitely endangered,166187,11.6952,75.9375
136,Corsican,"France, Italy",Definitely endangered,160000,42.0819,9.0307
137,Dzongkha,Bhutan,Vulnerable,160000,27.44,89.6731
138,Kalmyk,Russian Federation,Definitely endangered,153602,46.2026,45.8239
139,Lak,Russian Federation,Vulnerable,153373,42.0125,47.2521
140,Asturian-Leonese,"Spain, Portugal",Definitely endangered,150000,42.7954,-5.6689
141,Latgalian,"Latvia, Russian Federation",Vulnerable,150000,56.1822,27.1362
142,Provençal,France,Severely endangered,150000,43.5485,6.1083
143,Rabha,India,Vulnerable,150000,25.9284,90.9777
144,Tamzabit,Algeria,Vulnerable,150000,32.4816,3.6694
145,Sherpa,"China, India, Nepal",Vulnerable,143693,27.739,86.839
146,Tangkhul,India,Vulnerable,142000,25.0358,94.4824
147,Q'aanjob'al,Guatemala,Vulnerable,139830,15.6019,-91.4441
148,Badaga,India,Definitely endangered,134514,11.3642,76.5266
149,Angami,India,Vulnerable,132000,25.7553,94.1308
150,Laz,"Georgia, Turkey",Definitely endangered,130000,41.2736,41.2646
151,Tabasaran,Russian Federation,Vulnerable,128391,41.8081,47.9882
152,Chambeali,India,Definitely endangered,126589,32.9072,76.5307
153,Abkhaz,"Georgia, Russian Federation, Turkey",Vulnerable,125000,43.133,40.8471
154,Phom,India,Vulnerable,123000,26.7799,94.9493
155,Kolami,India,Definitely endangered,121855,20.5093,78.1787
156,Navajo,United States of America,Vulnerable,120000,35.8044,-108.475
157,Sassarese,Italy,Definitely endangered,120000,40.6139,8.6132
158,Tamahaq (Algeria),Algeria,Vulnerable,120000,22.8369,5.5371
159,Konda,India,Definitely endangered,118597,18.2763,82.9385
160,Sierra Totonac,Mexico,Severely endangered,118367,20.2461,-97.6586
161,Jaunsari,India,Definitely endangered,114733,30.4859,78.0908
162,Dimasa,India,Vulnerable,112000,24.7368,92.9003
163,Ladakhi,"China, India",Vulnerable,105000,34.0617,77.5909
164,Salar,China,Vulnerable,104503,36.2752,102.4584
165,Simi,India,Vulnerable,104000,25.9777,94.5922
166,Phurhepecha,Mexico,Vulnerable,102988,19.3111,-102.041
167,Crimean Tatar (Crimea),Ukraine,Severely endangered,100000,45.3212,34.3212
168,Dagur (Nonni),China,Definitely endangered,100000,47.9163,124.1235
169,Francoprovençal,"France, Italy, Switzerland",Definitely endangered,100000,45.7828,6.9982
